0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:36:23 +0900] "GET /edt/products_Brand.jsp?brand=%27JORDAN%27 HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:38:10 +0900] "GET /edt/draw.jsp HTTP/1.1" 200 6855
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:38:10 +0900] "GET /edt/resources/css/draw.css HTTP/1.1" 200 6306
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:38:10 +0900] "GET /edt/resources/img/DD3357-100_1.jpg HTTP/1.1" 200 18655
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:38:10 +0900] "GET /edt/resources/img/DD3357-100_2.jpg HTTP/1.1" 200 12696
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:38:10 +0900] "GET /edt/resources/img/DD3357-100_3.jpg HTTP/1.1" 200 17692
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:38:10 +0900] "GET /edt/resources/img/DD3357-100_4.jpg HTTP/1.1" 200 36674
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:38:10 +0900] "GET /edt/resources/img/DD3357-100_5.jpg HTTP/1.1" 200 20474
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:38:10 +0900] "GET /edt/resources/img/DD3357-100_6.jpg HTTP/1.1" 200 17855
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:38:13 +0900] "GET /edt/products.jsp?brand=%27ADIDAS%27 HTTP/1.1" 200 9044
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:38:14 +0900] "GET /edt/products.jsp?brand=%27JORDAN%27 HTTP/1.1" 200 9757
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:38:16 +0900] "GET /edt/products.jsp?brand=%27NEW%20BALANCE%27 HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:38:17 +0900] "GET /edt/products.jsp HTTP/1.1" 200 30762
0:0:0:0:0:0:0:1 - - [25/Jan/2022:09:38:18 +0900] "GET /edt/product.jsp?p_id=AV3725-010 HTTP/1.1" 200 19366
